Exchange/Symbol,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYSE-A,16 days ago,Q2 2025,1.27USD,1.63BUSD,33.38BUSD,0.87%,26.15,4.37USD,1.29BUSD,6.51BUSD,282.92M,0.84,17.9K,200 1.10%,363.69KUSD,72.01KUSD,Health Technology,Health Technology,Medical Specialties,Medical Specialties,Padraig Mcdonnell,agilent.com,agilent.com,Santa Clara,1999,BBG000C2V3D6,
NYSE-AA,July 16,Q2 2025,0.75USD,2.96BUSD,7.34BUSD,1.39%,8.51,3.40USD,60.00MUSD,12.18BUSD,257.80M,1.88,13.9K,+300 +2.21%,876.55KUSD,4.32KUSD,Non-Energy Minerals,Non-Energy Minerals,Aluminum,Aluminum,William F. Oplinger,alcoa.com,alcoa.com,Pittsburgh,1886,BBG00B3T3HD3,
NASDAQ-AACB,294.88MUSD,,,,85.27KUSD,0.00USD,23.47M,0.04,1,0.00USD,85.27KUSD,Finance,Finance,Financial Conglomerates,Financial Conglomerates,Hong Boon Sim,artiuscapital.com,artiuscapital.com,New York,2024,BBG01SK9X794,,,,,,
NYSE-AACT,699.01MUSD,,31.29,0.36USD,25.99MUSD,0.00USD,46.39M,1.8,4,0,0.00USD,6.50MUSD,Finance,Finance,Financial Conglomerates,Financial Conglomerates,David Benjamin Kaplan,aresacquisitioncorporationii.com,aresacquisitioncorporationii.com,New York,2021,BBG01GWQM2H3,,,,,
NASDAQ-AAL,,,0.78USD,14.27BUSD,6.84BUSD,,12.77,1.04USD,846.00MUSD,54.21BUSD,649.21M,0.94,133.3K,+1.2K +0.91%,406.68KUSD,6.35KUSD,Transportation,Transportation,Airlines,Airlines,Robert D. Isom,aa.com,aa.com,Fort Worth,2013,BBG005P7Q881,
NYSE-AAM,546.95MUSD,,49.45,0.21USD,5.86MUSD,0.00USD,36.47M,0.11,2,0.00USD,2.93MUSD,Finance,Finance,Financial Conglomerates,Financial Conglomerates,Qing Sun,aamission.net,aamission.net,The Woodlands,BBG01P4W83N8,,,,,,,
NASDAQ-AAME,37.33MUSD,1.09%,,0.09USD,4.27MUSD,188.23MUSD,3.83M,0.16,156,+1 +0.65%,1.21MUSD,27.36KUSD,Finance,Finance,Multi-Line Insurance,Multi-Line Insurance,Hilton H. Howell,atlam.com,atlam.com,Atlanta,1968,BBG000B9XB24,,,,,
NYSE-AAMI,July 24,Q2 2025,0.52USD,117.60MUSD,1.12BUSD,0.13%,12.58,2.42USD,85.00MUSD,515.30MUSD,35.13M,1.24,383,4 1.03%,1.35MUSD,221.93KUSD,Finance,Finance,Investment Managers,Investment Managers,Kelly Ann Louise Young,acadian-inc.com,acadian-inc.com,Boston,1980,BBG00P2HLNY3,
NASDAQ-AAOI,July 31,Q2 2025,0.08USD,104.96MUSD,868.47MUSD,,,3.87USD,186.73MUSD,249.37MUSD,51.66M,3.59,3.31K,+1.16K +53.98%,75.36KUSD,56.43KUSD,Electronic Technology,Electronic Technology,Semiconductors,Semiconductors,Chih Hsiang Lin,ao-inc.com,ao-inc.com,Sugar Land,1997,BBG000D6VW15,
NASDAQ-AAON,July 31,Q2 2025,0.37USD,333.98MUSD,5.94BUSD,0.54%,38.96,1.95USD,168.56MUSD,1.20BUSD,67.22M,1.59,4.81K,+956 +24.79%,249.51KUSD,35.03KUSD,Producer Manufacturing,Producer Manufacturing,Industrial Machinery,Industrial Machinery,Matthew J. Tobolski,aaon.com,aaon.com,Tulsa,1987,BBG000C2LZP3,
